,variables,importance
1,Channel 3 - Channel 12 b Waves,0.11892108928040064
2,Channel 3 - Channel 12 a Waves ,0.11673326384618622
3,Pupil Average Diameter,0.06661427089694846
4,Change in R-R Interval ,0.05189137450970525
5,Channel 4 - Channel 11 b Waves,0.05025583618239053
6,Channel 4 - Channel 11 a Waves ,0.04082122527713801
7,Channel 1 - Channel 14 a Waves ,0.032621320898230194
8,Channel 1 - Channel 14 b Waves,0.028343838773007897
9,Channel 2 - Channel 13 a Waves ,0.026936551704725895
10,Channel 6 - Channel 9 a Waves ,0.025840324411957424
11,Channel 7 - Channel 8 b Waves,0.024816235675387086
12,Channel 2 - Channel 13 b Waves,0.020704015688617905
13,Channel 9 b/a,0.020637496979248028
14,Channel 6 - Channel 9 b Waves,0.018500205796322902
15,Channel 5 - Channel 10 b Waves,0.018077119531505502
16,Channel 7 b/a,0.01663457660133232
17,Channel 5 - Channel 10 a Waves ,0.01625903386079014
18,Channel 7 - Channel 8 a Waves ,0.01620346892643308
19,Channel 8 b/a,0.01537533099926937
20,Channel 10 b/a ,0.01522959473662172
21,Channel 7 - Channel 8 b/a ,0.0151748152581908
22,Channel 4 b/a ,0.014848192114158545
23,Channel 5 - Channel 10 b/a ,0.014724391278825548
24,Channel 1 b/a ,0.014295754334821855
25,Channel 2 b/a ,0.014288555541484388
26,Channel 6 b/a,0.014281981783838922
27,Channel 6 - Channel 9 b/a ,0.014246480966038049
28,Channel 11 b/a ,0.013980461893264516
29,Channel 4 - Channel 11 b/a ,0.013845131968256071
30,Channel 5 b/a,0.013793550101689356
31,Right Eye Euclidean Distance,0.013684709800492287
32,Channel 1 - Channel 14 b/a,0.013464203547100428
33,Channel 12 b/a,0.013363248980456946
34,Channel 14 b/a ,0.013252079624121789
35,Channel 3 b/a ,0.01324291399033521
36,Channel 2 - Channel 13 b/a,0.012397519901442453
37,Channel 3 - Channel 12 b/a,0.012012422642077168
38,Channel 13 b/a ,0.01200629108842936
39,Left Eye Euclidean Distance,0.01168112060875788
